UqID,ID,Region,Location,Contract Type,Property Type,Years,Bedrooms,Bathrooms,Land Size (SQM),Build Size (SQM),FSR,Price IDR,Price ($),Price/SQM ($),Price/Year ($),Availability,Sold Date,Scrape Date,Days listed,Off plan
162,V006-2715,North Badung,Kerobokan,Freehold,Villa,,2,2,116,,,1300000000,87664,,,Sold,Jan/23,Apr/23,,Available
163,V005-2112,North Badung,Berawa,Freehold,Villa,,2,2,150,,,2255000000,152064,,,Sold,Feb/23,Apr/23,,Available
164,V006-2445,North Badung,Kerobokan,Freehold,Villa,,2,2,150,,,2310000000,155773,,,Sold,Mar/23,Apr/23,,Available
165,VPDN2075F,North Badung,Padonan,Freehold,Villa,,2,2,134,,,2387515000,161000,,,Sold,Jul/23,Apr/23,91,Available
166,V006-1723,North Badung,Kerobokan,Freehold,Villa,,2,2,123,,,2500000000,168585,,,Sold,Jun/23,Apr/23,61,Available
167,V011-1305,Central Badung,Seminyak,Freehold,Villa,,2,3,183,,,3845000000,259284,,,Sold,Jun/23,Apr/23,61,Available
168,,Other,Other,Freehold,Villa,,2,,,,,4042500000,272602,,,Available,,Apr/23,,Available
169,,North Badung,Canggu,Freehold,Villa,,2,2,,,,4566408000,307932,,,Available,,Apr/23,,Available
170,CM1167,Mengwi,Cemagi,Freehold,Villa,,2,3,151,,,4712500000,317783,,,Available,,Apr/23,,Available
171,,North Badung,Canggu,Freehold,Villa,,2,2,,,,4862319000,327886,,,Available,,Apr/23,,Available
172,V001-2976,North Badung,Umalas,Freehold,Villa,,2,2,300,,,6000000000,404605,,,Sold,Jan/23,Apr/23,,Available
173,,North Badung,Canggu,Freehold,Villa,,2,2,,,,6076686000,409776,,,Available,,Apr/23,,Available
174,V006-3461,North Badung,Kerobokan,Freehold,Villa,,2,2,130,,,1700000000,114681,,,Sold,Jan/23,May/23,,Available
175,V006-3620,North Badung,Kerobokan,Freehold,Villa,,2,2,100,,,2100000000,141664,,,Sold,Jul/23,May/23,61,Available
176,V005-3067,North Badung,Berawa,Freehold,Villa,,2,2,135,,,2300000000,155156,,,Sold,May/23,May/23,,Available
177,V003-3552,South Badung,Nusa Dua,Freehold,Villa,,2,2,125,,,2850000000,192259,,,Available,,May/23,,Available
178,V015-2985,Tabanan,Tanah Lot,Freehold,Villa,,2,2,216,,,3750000000,252972,,,Sold,Jan/23,May/23,,Available
179,V004-0333,North Badung,Berawa,Freehold,Villa,,2,3,161,,,3800000000,256345,,,Sold,Mar/23,May/23,,Available
180,LAZ113723,Central Badung,Seminyak,Freehold,Villa,,2,2,220,,,7500000000,505944,,,Sold,Sep/23,May/23,,Available
181,V002-0661,Central Badung,Seminyak,Freehold,Villa,,2,3,400,,,9500000000,640862,,,Available,,May/23,,Available
182,V005-4371,North Badung,Berawa,Freehold,Villa,,2,2,250,,,10500000000,708322,,,Available,,May/23,,Available
183,V009-0616,Mengwi,Pererenan,Freehold,Villa,,2,2,142,,,1700000000,113821,,,Sold,Apr/23,Jun/23,,Available
184,V005-1614,North Badung,Berawa,Freehold,Villa,,2,2,200,,,2400000000,160689,,,Sold,May/23,Jun/23,,Available
185,V005-2516,Mengwi,Tumbak Bayuh,Freehold,Villa,,2,2,150,,,2800000000,187470,,,Sold,Feb/23,Jun/23,,Available
186,V004-0332,North Badung,Berawa,Freehold,Villa,,2,2,136,,,3000000000,200861,,,Sold,May/23,Jun/23,,Available
187,,South Badung,Uluwatu,Freehold,Villa,,2,3,,,,4595514000,307687,,,Available,,Jun/23,,Available
188,LAZ117010,Central Badung,Seminyak,Freehold,Villa,,2,2,200,,,4600000000,307987,,,Sold,Sep/23,Jun/23,,Available
189,V006-0759,North Badung,Kerobokan,Freehold,Villa,,2,2,300,,,5700000000,381636,,,Sold,Apr/23,Jun/23,,Available
190,,Mengwi,Pererenan,Freehold,Villa,,2,2,,,,10568712000,707614,,,Available,,Jun/23,,Available
191,V002-0088,Mengwi,Pererenan,Freehold,Villa,,2,3,650,,,15862500000,1062053,,,Sold,Mar/23,Jun/23,,Available
192,V009-2156,Mengwi,Pererenan,Freehold,Villa,,2,2,109,,,1700000000,113086,,,Sold,Feb/23,Jul/23,,Available
193,V005-1448,North Badung,Padonan,Freehold,Villa,,2,2,100,,,2200000000,146347,,,Sold,Jul/23,Jul/23,,Available
194,LAZ82203,South Badung,Jimbaran,Freehold,Villa,,2,3,100,,,2230237555,148358,,,Sold,Oct/23,Jul/23,,Available
195,LAZ84171,Other,Nusa Penida,Freehold,Villa,,2,2,300,,,2880000000,191581,,,Sold,Aug/23,Jul/23,31,Available
196,V004-0284,North Badung,Berawa,Freehold,Villa,,2,2,145,,,3000000000,199563,,,Sold,Apr/23,Jul/23,,Available
197,V009-1169,Mengwi,Pererenan,Freehold,Villa,,2,2,300,,,3150000000,209542,,,Sold,Apr/23,Jul/23,,Available
198,VCA652F,Mengwi,Buduk,Freehold,Villa,,2,2,890,,,3532710238,235000,,,Sold,May/23,Jul/23,,Available
199,V009-0086,Mengwi,Pererenan,Freehold,Villa,,2,2,300,,,3600000000,239476,,,Sold,Jul/23,Jul/23,,Available
200,V011-1452,Central Badung,Seminyak,Freehold,Villa,,2,2,150,,,5775000000,384160,,,Sold,Jun/23,Jul/23,,Available
201,BHI759,North Badung,Berawa,Freehold,Villa,,2,3,150,,,5650000000,370633,,,Sold,Nov/23,Aug/23,92,Available
202,274196,Tabanan,Other Tabanan,Freehold,Villa,,2,2,1450,,,5500000000,349211,,,Available,,Oct/23,,Available
203,UB0152F,Gianyar,Ubud,Freehold,Villa,,2,2,250,,,3200000000,203765,,,Sold,Aug/25,Mar/24,518,Available
204,2526,Mengwi,Pererenan,Freehold,Villa,,2,2,395,,,7339500000,449992,,,Sold,Jan/25,Apr/24,,Available
205,FHV441,North Badung,Canggu,Freehold,Villa,,2,2,,,,5700000000,354623,,,Sold,Nov/25,May/24,549,Available
206,2544,Central Badung,Seminyak,Freehold,Villa,,2,2,532,,,8840150000,549985,,,Sold,Aug/24,May/24,,Available
207,2629,South Badung,Jimbaran,Freehold,Villa,,2,1,,,,1990000000,125669,,,Available,,Nov/24,,Available
208,455966,South Badung,Jimbaran,Freehold,Villa,,2,2,200,,,6140000000,381603,,,Available,,Dec/24,,Available
209,458358,South Badung,Uluwatu,Freehold,Villa,,2,2,214,,,5797000000,355753,,,Available,,Jan/25,,Available
210,2682,Mengwi,Cemagi,Freehold,Villa,,2,2,300,,,7100000000,428873,,,Available,,Mar/25,,Available
211,FHV473,North Badung,Umalas,Freehold,Villa,,2,2,896,,,19866000000,1200000,,,Available,,Mar/25,,Available
212,FHV477,South Badung,Uluwatu,Freehold,Villa,,2,3,200,,,4482000000,270000,,,Available,,Apr/25,,Off Plan
213,FHV482,Tabanan,Other Tabanan,Freehold,Villa,,2,2,710,,,5500000000,331325,,,Available,,Apr/25,,Available
214,FHV475,Mengwi,Pererenan,Freehold,Villa,,2,2,395,,,5627400000,339000,,,Sold,Jun/25,Apr/25,61,Available
215,FHV480,South Badung,Pecatu,Freehold,Villa,,2,3,200,,,5893000000,355000,,,Available,,Apr/25,,Off Plan
216,BB-V2236,Other,Other East Bali,Freehold,Villa,,2,3,150,,,4800000000,288029,,,Available,,Sep/25,,Available
217,FHV500,North Badung,Berawa,Freehold,Villa,,2,2,106,,,5500000000,330033,,,Available,,Sep/25,,Available
218,BB-V2254,Gianyar,Ubud,Freehold,Villa,,2,2,220,,,5900000000,354035,,,Available,,Sep/25,,Available
219,27955,Gianyar,Ubud,Freehold,Villa,,2,2,,,,4600000000,276609,,,Sold,Nov/25,Oct/25,31,Available
220,FHV505,Mengwi,Tumbak Bayuh,Freehold,Villa,,2,2,100,,,5000000000,300661,,,Available,,Oct/25,,Available
221,100267,South Badung,Uluwatu,Freehold,Villa,,2,2,,,,5820500000,350000,,,Available,,Oct/25,,Available
222,18422,South Badung,Ungasan,Freehold,Villa,,2,2,,,,13200000000,793746,,,Sold,Nov/25,Oct/25,31,Available
223,LAZ80484,Mengwi,Pererenan,Leasehold,Villa,,2,2,325,,,2500000000,163934,,,Sold,Sep/23,Jan/23,243,Available
224,V005-1070,North Badung,Berawa,Leasehold,Villa,,2,2,400,,,3150000000,206557,,,Sold,Jan/23,Jan/23,,Available
225,,Mengwi,Buduk,Leasehold,Villa,,2,,,,,3595205460,235750,,,Available,,Jan/23,,Available
226,LAZ101105,North Badung,Berawa,Leasehold,Villa,,2,2,125,,,3713920347,243535,,,Sold,Oct/23,Jan/23,273,Available
227,KD1305,Tabanan,Kedungu,Leasehold,Villa,,2,2,216,,,3750000000,245901,,,Available,,Jan/23,,Available
228,LAZ112559,Tabanan,Kedungu,Leasehold,Villa,,2,2,170,,,4400000000,288524,,,Sold,Aug/23,Jan/23,,Available
229,BR1338,North Badung,Berawa,Leasehold,Villa,,2,2,170,,,4546893000,298156,,,Available,,Jan/23,,Available
230,,Central Badung,Seminyak,Leasehold,Villa,,2,,,,,11297475000,740816,,,Available,,Jan/23,,Available
231,,Tabanan,Other Tabanan,Leasehold,Villa,,2,,,,,5799370500,383312,,,Available,,Feb/23,,Available
232,,Gianyar,Ubud,Leasehold,Villa,,2,,,,,1958229000,128218,,,Available,,Mar/23,,Available
233,,North Badung,Umalas,Leasehold,Villa,,2,2,,,,4123350000,269983,,,Available,,Mar/23,,Available
234,,South Badung,Uluwatu,Leasehold,Villa,,2,,,,,4770150000,312333,,,Available,,Mar/23,,Available
