ID,DATE,REGION,LOCATION,TYPE,MGMT,BEDS,COUNT,OCCUPANCY,RATE_USD,MONTHLY_USD,TOTAL_USD
223,Mar/24,Central Badung,Kuta,Apartment,Professional,2,0,29%,$155.00,"$1,426.00",$414.00
224,May/22,Central Badung,Kuta,Apartment,Professional,2,0,41%,$127.00,"$1,263.00",$253.00
225,May/23,Central Badung,Kuta,Apartment,Professional,2,0,28%,$158.00,"$1,451.00",$479.00
226,May/24,Central Badung,Kuta,Apartment,Professional,2,0,59%,$123.00,"$1,824.00",$602.00
227,Nov/26,Central Badung,Kuta,Apartment,Professional,2,0,5%,$252.00,$503.00,$40.00
228,Nov/22,Central Badung,Kuta,Apartment,Professional,2,0,27%,$136.00,"$1,293.00",$375.00
229,Nov/23,Central Badung,Kuta,Apartment,Professional,2,0,34%,$142.00,"$1,836.00",$679.00
230,Nov/25,Central Badung,Kuta,Apartment,Professional,2,0,51%,$86.00,"$1,218.00",$195.00
231,Oct/26,Central Badung,Kuta,Apartment,Professional,2,0,24%,$191.00,$573.00,$46.00
232,Oct/22,Central Badung,Kuta,Apartment,Professional,2,0,37%,$125.00,"$1,433.00",$287.00
233,Oct/23,Central Badung,Kuta,Apartment,Professional,2,0,53%,$144.00,"$2,069.00",$683.00
234,Oct/25,Central Badung,Kuta,Apartment,Professional,2,0,35%,$85.00,"$1,438.00",$475.00
235,Sep/22,Central Badung,Kuta,Apartment,Professional,2,0,45%,$126.00,"$1,388.00",$278.00
236,Sep/23,Central Badung,Kuta,Apartment,Professional,2,0,55%,$136.00,"$1,867.00",$691.00
237,Sep/24,Central Badung,Kuta,Apartment,Professional,2,0,66%,$137.00,"$2,211.00",$907.00
238,Apr/22,Central Badung,Kuta,Guest House,Individual,1,2,27%,$32.00,$167.00,$336.00
239,Apr/23,Central Badung,Kuta,Guest House,Individual,1,8,53%,$33.00,$380.00,"$2,945.00"
240,Apr/24,Central Badung,Kuta,Guest House,Individual,1,29,44%,$38.00,$472.00,"$13,901.00"
241,Apr/25,Central Badung,Kuta,Guest House,Individual,1,19,40%,$37.00,$444.00,"$8,435.00"
242,Aug/22,Central Badung,Kuta,Guest House,Individual,1,5,43%,$32.00,$342.00,"$1,683.00"
243,Aug/23,Central Badung,Kuta,Guest House,Individual,1,7,56%,$31.00,$467.00,"$3,330.00"
244,Aug/24,Central Badung,Kuta,Guest House,Individual,1,29,54%,$46.00,$680.00,"$19,579.00"
245,Aug/25,Central Badung,Kuta,Guest House,Individual,1,21,53%,$52.00,$750.00,"$15,621.00"
246,Dec/26,Central Badung,Kuta,Guest House,Individual,1,2,28%,$43.00,$285.00,$467.00
247,Dec/22,Central Badung,Kuta,Guest House,Individual,1,9,63%,$41.00,$414.00,"$3,784.00"
248,Dec/23,Central Badung,Kuta,Guest House,Individual,1,9,61%,$31.00,$346.00,"$3,093.00"
249,Dec/24,Central Badung,Kuta,Guest House,Individual,1,30,56%,$45.00,$438.00,"$13,033.00"
250,Dec/25,Central Badung,Kuta,Guest House,Individual,1,23,55%,$33.00,$406.00,"$9,196.00"
251,Feb/22,Central Badung,Kuta,Guest House,Individual,1,1,12%,$25.00,$93.00,$118.00
252,Feb/23,Central Badung,Kuta,Guest House,Individual,1,6,56%,$28.00,$362.00,"$2,078.00"
253,Feb/24,Central Badung,Kuta,Guest House,Individual,1,24,48%,$39.00,$472.00,"$11,477.00"
